iter	Passed	Remaining
472	661	737
473	662	735
474	663	733
475	664	731
476	665	729
477	666	727
478	666	725
479	668	724
480	670	723
481	671	721
482	672	719
483	673	717
484	673	715
485	674	713
486	675	711
487	676	709
488	677	708
489	678	706
490	679	704
491	680	702
492	681	700
493	681	698
494	682	696
495	683	694
496	684	692
497	685	690
498	686	688
499	686	686
500	687	685
501	688	683
502	689	681
503	690	679
504	691	678
505	692	676
506	693	674
507	694	672
508	695	670
509	696	668
510	697	667
511	698	665
512	699	663
513	699	661
514	700	659
515	701	658
516	702	656
517	703	654
518	704	652
519	705	650
520	705	648
521	706	647
522	707	645
523	708	643
524	709	641
525	710	639
526	711	638
527	711	636
528	713	635
529	714	633
530	715	632
531	716	630
532	717	628
533	718	626
534	719	625
535	720	623
536	720	621
537	721	619
538	722	617
539	723	616
540	724	614
541	725	612
542	725	611
543	726	609
544	727	607
545	728	605
546	729	604
547	730	602
548	731	600
549	731	598
550	732	597
551	733	595
552	735	594
553	737	593
554	738	591
555	739	590
556	739	588
557	740	586
558	741	585
559	742	583
560	743	581
561	744	579
562	744	578
563	745	576
564	746	574
565	747	573
566	748	571
567	749	569
568	749	568
569	750	566
570	751	564
571	752	563
572	753	561
573	754	559
574	754	558
575	755	556
576	756	554
577	757	553
578	758	551
579	759	550
580	760	548
581	761	546
582	762	545
583	763	543
584	764	542
585	764	540
586	765	538
587	766	537
588	767	535
589	768	533
590	768	532
591	769	530
592	770	529
593	771	527
594	772	525
595	773	524
596	774	522
597	774	520
598	775	519
599	776	517
600	777	516
601	778	514
602	779	513
603	781	512
604	782	510
605	783	509
606	784	507
607	785	506
608	786	504
609	786	503
610	787	501
611	788	500
612	789	498
613	790	497
614	791	495
615	792	493
616	793	492
617	793	490
618	794	489
619	795	487
620	796	486
621	797	484
622	798	482
623	798	481
624	799	479
625	800	478
626	801	476
627	803	475
628	804	474
629	805	473
630	806	471
631	807	470
632	808	468
633	808	466
634	809	465
635	810	463
636	811	462
637	812	460
638	813	459
639	813	457
640	814	456
641	815	454
642	816	453
643	817	451
644	818	450
645	818	448
646	819	447
647	820	445
648	821	444
649	822	442
650	823	441
651	824	439
652	826	439
653	827	437
654	828	436
655	829	434
656	829	433
657	830	431
658	831	430
659	832	428
660	833	427
661	834	425
662	834	424
663	835	422
664	836	421
665	837	419
666	838	418
667	838	416
668	839	415
669	840	413
670	841	412
671	842	411
672	843	409
673	843	408
674	844	406
675	845	405
676	846	403
677	848	402
678	849	401
679	850	400
680	851	398
681	852	397
682	853	396
683	855	395
684	856	393
685	856	392
686	857	390
687	858	389
688	859	388
689	860	386
690	861	385
691	862	384
692	864	382
693	865	381
694	866	380
695	867	378
696	868	377
697	869	376
698	871	375
699	873	374
700	874	372
701	875	371
702	876	370
703	876	368
704	878	367
705	879	366
706	879	364
707	880	363
708	881	361
709	882	360
710	883	359
711	884	357
712	885	356
713	886	355
714	887	353
715	888	352
716	889	351
717	890	349
718	891	348
719	893	347
720	895	346
721	896	345
722	896	343
723	897	342
724	898	340
725	899	339
726	900	338
727	901	336
728	901	335
729	902	333
730	903	332
731	904	331
732	905	329
733	906	328
734	907	327
735	908	325
736	909	324
737	910	323
738	911	321
739	912	320
740	913	319
741	916	318
742	917	317
743	918	316
744	919	314
745	920	313
746	921	312
747	922	310
748	923	309
749	924	308
750	925	306
751	925	305
752	926	304
753	927	302
754	928	301
755	929	299
756	930	298
757	931	297
758	932	295
759	933	294
760	934	293
761	934	292
762	935	290
763	937	289
764	938	288
765	940	287
766	941	285
767	941	284
768	942	283
769	943	281
770	944	280
771	945	279
772	946	277
773	946	276
774	947	275
775	948	273
776	949	272
777	950	271
778	951	269
779	951	268
780	952	267
781	953	265
782	954	264
783	955	263
784	956	261
785	956	260
786	957	259
787	958	257
788	961	257
789	962	255
790	963	254
791	964	253
792	965	251
793	966	250
794	966	249
795	967	248
796	968	246
797	969	245
798	970	244
799	971	242
800	972	241
801	973	240
802	974	239
803	975	237
804	976	236
805	977	235
806	978	233
807	979	232
808	979	231
809	980	230
810	983	229
811	984	227
812	985	226
813	986	225
814	987	224
815	988	222
816	990	221
817	992	220
818	993	219
819	995	218
820	996	217
821	998	216
822	1000	215
823	1001	213
824	1002	212
825	1004	211
826	1007	210
827	1008	209
828	1009	208
829	1010	206
830	1011	205
831	1012	204
832	1013	203
833	1014	201
834	1015	200
835	1016	199
836	1017	198
837	1018	196
838	1019	195
839	1020	194
840	1021	193
841	1022	191
842	1023	190
843	1024	189
844	1028	188
845	1029	187
846	1030	186
847	1031	184
848	1033	183
849	1034	182
850	1035	181
851	1036	179
852	1036	178
853	1037	177
854	1038	176
855	1039	174
856	1040	173
857	1041	172
858	1042	171
859	1043	169
860	1044	168
861	1045	167
862	1046	166
863	1047	164
864	1050	163
865	1052	162
866	1054	161
867	1055	160
868	1056	159
869	1057	157
870	1058	156
871	1059	155
872	1060	154
873	1061	153
874	1062	151
